TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,Target
14.090000000000032,1,36,0,70.0,0,81.0,1.0,5112.21,Tua,1
376.24,1,15,0,68.0,0,141.0,1.0,13758.91,Tua,2
126.29000000000002,1,23,2,19.0,3,56.0,1.0,1122.3499999999995,Muda,2
184.5,1,33,2,26.0,3,25.0,1.0,8569.06,Muda,1
92.15,1,28,0,18.0,3,172.0,1.0,781.6800000000003,Muda,1
7.0800000000000125,0,39,0,37.0,0,139.0,1.0,13316.71,Dewasa,1
171.42,0,16,1,67.0,2,291.0,1.0,2796.24,Tua,2
106.23000000000002,0,11,1,51.0,1,86.0,1.0,9095.14,Dewasa,0
815.96,1,26,0,55.0,0,120.0,1.0,1021.8799999999997,Dewasa,2
17.779999999999973,0,0,2,52.0,1,59.0,1.0,7599.52,Dewasa,0
190.02,1,22,2,21.0,3,173.0,1.0,1528.81,Muda,2
494.52,0,23,1,24.0,3,111.0,1.0,1620.02,Muda,2
781.76,1,22,0,26.0,3,123.0,1.0,189.6899999999996,Muda,2
166.99,1,21,2,18.0,3,134.0,1.0,299.9300000000003,Muda,2
465.45,1,10,0,36.0,1,129.0,1.0,3465.54,Dewasa,0
555.8,0,2,1,19.0,3,158.0,1.0,1131.2600000000007,Muda,0
492.92999999999995,1,8,2,39.0,1,234.0,1.0,5109.97,Dewasa,0
18.680000000000035,0,0,1,59.0,2,106.0,1.0,7948.37,Tua,0
71.48000000000002,0,8,2,18.0,3,169.0,1.0,6568.59,Muda,0
59.31999999999999,1,20,1,71.0,2,38.0,1.0,5750.89,Tua,2
85.76999999999998,1,19,1,38.0,0,93.0,1.0,9146.19,Dewasa,2
145.53999999999996,1,33,2,21.0,3,96.0,1.0,1930.96,Muda,1
7.490000000000009,0,15,2,65.0,2,276.0,1.0,3634.67,Tua,2
40.31999999999999,1,25,1,37.0,1,95.0,1.0,2686.52,Dewasa,2
127.44999999999999,1,19,2,44.0,0,197.0,1.0,1772.06,Dewasa,2
56.170000000000016,1,11,1,27.0,3,283.0,1.0,1351.69,Muda,0
28.310000000000002,0,24,2,59.0,0,20.0,1.0,8334.47,Tua,2
59.120000000000005,1,3,0,29.0,0,257.0,1.0,9823.64,Muda,0
877.81,1,20,2,21.999999999999996,3,150.0,1.0,399.0,Muda,2
255.26,0,37,1,45.0,0,50.0,1.0,14815.869999999999,Dewasa,1
124.75999999999999,1,39,1,49.0,1,45.0,1.0,5764.72,Dewasa,1
78.13,1,25,1,26.0,3,145.0,1.0,900.6099999999997,Muda,2
335.63,1,28,2,55.0,2,216.0,1.0,1019.3899999999999,Dewasa,1
328.47,1,35,0,63.0,2,119.0,1.0,4323.66,Tua,1
34.02000000000001,1,30,2,38.0,0,19.0,1.0,14214.48,Dewasa,1
241.42,0,5,2,57.0,0,116.0,1.0,13357.02,Tua,0
55.31999999999999,1,40,0,19.0,3,117.0,1.0,241.78999999999996,Muda,1
304.31,1,21,1,27.0,3,33.0,1.0,868.6099999999997,Muda,2
164.49,1,3,1,26.0,3,75.0,1.0,1509.27,Muda,0
510.24,1,28,2,19.0,3,105.0,1.0,781.6999999999998,Muda,1
626.9,1,10,2,26.0,3,138.0,1.0,265.5100000000002,Muda,0
425.34,0,18,2,69.0,2,121.0,1.0,3907.54,Tua,2
85.43,1,41,1,67.0,0,145.0,1.0,14904.899999999998,Tua,1
169.5,1,36,1,28.0,3,142.0,1.0,918.8800000000001,Muda,1
104.63,1,29,0,62.0,2,90.0,1.0,4477.78,Tua,1
316.95,1,23,1,25.0,3,83.0,1.0,1324.0299999999997,Muda,2
60.53999999999999,0,8,1,57.0,2,52.0,1.0,3534.93,Tua,0
292.56,0,9,1,68.0,2,61.0,1.0,4638.37,Tua,0
386.52,1,16,1,48.0,1,28.0,1.0,5630.61,Dewasa,2
112.07,1,18,1,23.0,3,51.0,1.0,930.3000000000002,Muda,2
